country,countryiso3code,year,population,gdp_per_capita_usd,inflation_pct,pop_abs_change,pop_pct_change,gdp_pc_abs_change_usd,gdp_pc_pct_change,pop_cagr_25y,gdp_pc_cagr_25y,inflation_ma_5y,inflation_cum_5y
Portugal,PRT,2000,10289898,11526.3720667968,2.85303039287157,72070.0,0.7053358110941099,-948.9197033508008,-7.606392867070988,0.16089545559683227,3.962687844273338,2.6343435726647217,13.881973105254119
Portugal,PRT,2001,10362722,11734.7649743954,4.36990330551793,72824.0,0.7077232446813353,208.3929075986016,1.8079661700224348,0.16089545559683227,3.962687844273338,2.8945287687487298,15.319379600972226
Portugal,PRT,2002,10419631,12936.6928204482,3.60034658290914,56909.0,0.5491703820675653,1201.9278460527985,10.242453501841208,0.16089545559683227,3.962687844273338,3.147225488702326,16.743149497898347
Portugal,PRT,2003,10458821,15797.7821340276,3.21899090682895,39190.0,0.3761169661382402,2861.0893135794013,22.116079845824753,0.16089545559683227,3.962687844273338,3.2764732182498557,17.478665835352093
Portugal,PRT,2004,10483861,18064.1580932987,2.36536204097302,25040.0,0.23941513101715106,2266.3759592711012,14.346165430332425,0.16089545559683227,3.962687844273338,3.281526645820122,17.507670592940606
Portugal,PRT,2005,10503330,18780.12751241,2.27716394887834,19469.0,0.185704484254412,715.9694191112976,3.963480697043398,0.16089545559683227,3.962687844273338,3.166353357021476,16.84975391175183
Portugal,PRT,2006,10522288,19839.4540499032,3.1076654587105,18958.0,0.18049513820854735,1059.3265374932016,5.6406780880118745,0.16089545559683227,3.962687844273338,2.91390578765999,15.436586158345023
Portugal,PRT,2007,10542964,22811.0564844365,2.45396528138743,20676.0,0.19649718768388613,2971.602434533299,14.978247017577573,0.16089545559683227,3.962687844273338,2.684629527355648,14.159231899906132
Portugal,PRT,2008,10558177,24949.0413566739,2.58850657657959,15213.0,0.14429528546242576,2137.984872237401,9.372581553581716,0.16089545559683227,3.962687844273338,2.558532661305776,13.461922168103357
Portugal,PRT,2009,10568247,23151.2154130712,-0.835530021504157,10070.0,0.09537631354352705,-1797.8259436027001,-7.205992077614553,0.16089545559683227,3.962687844273338,1.918354248810341,9.914048563007128
Portugal,PRT,2010,10573100,22551.935098809,1.40257289895369,4853.0,0.04592057698877827,-599.2803142621997,-2.5885479598787953,0.16089545559683227,3.962687844273338,1.7434360388254106,8.97415309247731
Portugal,PRT,2011,10557560,23246.5425416481,3.65301100430724,-15540.0,-0.14697676178225816,694.6074428391003,3.0800347721636756,0.16089545559683227,3.962687844273338,1.8525051479447587,9.550527009099019
Portugal,PRT,2012,10514844,20593.4274224109,2.77333854051586,-42716.0,-0.40460106312443234,-2653.1151192372017,-11.412945019604216,0.16089545559683227,3.962687844273338,1.9163797997704446,9.892021930784466
Portugal,PRT,2013,10457295,21676.4859642714,0.274416666666663,-57549.0,-0.5473119715328156,1083.0585418605006,5.2592437365809985,0.16089545559683227,3.962687844273338,1.453561817787859,7.41318655617913
Portugal,PRT,2014,10401062,22120.6850127107,-0.278153367467428,-56233.0,-0.5377394440914229,444.1990484392991,2.049220750870129,0.16089545559683227,3.962687844273338,1.565037148595205,8.016927014178732
Portugal,PRT,2015,10358076,19215.7813014347,0.48793862390472,-42986.0,-0.41328472034874997,-2904.903711275998,-13.132069416506853,0.16089545559683227,3.962687844273338,1.382110293585411,7.042632369494761
Portugal,PRT,2016,10325452,19980.2808866516,0.607397074641719,-32624.0,-0.3149619678403548,764.4995852168977,3.9784985748136936,0.16089545559683227,3.962687844273338,0.7729875076523067,3.8974219308028024
Portugal,PRT,2017,10300300,21442.3842768879,1.36861411643472,-25152.0,-0.2435922417730496,1462.1033902363015,7.317731910431258,0.16089545559683227,3.962687844273338,0.4920426228360788,2.4773333333332426
Portugal,PRT,2018,10283822,23541.1401075289,0.993715683468326,-16478.0,-0.15997592303136354,2098.755830640999,9.787884609936714,0.16089545559683227,3.962687844273338,0.6359024261964114,3.2124345442050117
Portugal,PRT,2019,10286263,23343.3628970034,0.338178410046034,2441.0,0.023736311266375765,-197.77721052549896,-0.8401343759143032,0.16089545559683227,3.962687844273338,0.7591687816991037,3.8503399319635534
Portugal,PRT,2020,10297081,22299.4044062173,-0.0124383299575305,10818.0,0.10516938950519972,-1043.958490786099,-4.472185500402393,0.16089545559683227,3.962687844273338,0.6590933909266536,3.3332199923536754
Portugal,PRT,2021,10361831,24711.4510062111,1.26565719069044,64750.0,0.6288189827777346,2412.0465999937987,10.816641359808221,0.16089545559683227,3.962687844273338,0.7907454141363979,4.009314786192619
Portugal,PRT,2022,10434332,24620.5197587181,7.83269124233323,72501.0,0.699692940369312,-90.93124749300114,-0.36797210924662815,0.16089545559683227,3.962687844273338,2.0835608393161,10.64178419943287
Portugal,PRT,2023,10578174,27634.6183139773,4.31128191898672,143842.0,1.3785453635172917,3014.098555259199,12.242221467286086,0.16089545559683227,3.962687844273338,2.7470740864197785,14.276282098767323
Portugal,PRT,2024,10694681,29292.242104753,2.41613187791884,116507.0,1.1013904668234709,1657.6237907757022,5.9983596369677095,0.16089545559683227,3.962687844273338,3.1626647799943397,16.642886719715566
